emotion,gender,path,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
fear,male,../data/raw\Actor_03\03-01-06-01-01-01-03.wav,-49.749237,-50.14338,-46.307705,-41.068775,-36.729805,-33.034107,-32.679916,-34.634068,-35.450577,-35.230183,-35.0461,-34.220673,-35.068165,-34.649952,-34.54398,-34.988903,-35.12062,-36.191113,-36.60439,-35.3324,-34.438065,-36.148457,-37.556923,-39.8083,-41.565563,-40.292915,-39.496674,-39.10279,-40.09884,-42.208523,-43.41778,-42.275284,-41.769352,-42.33906,-43.15236,-44.81097,-44.815548,-44.976803,-46.273754,-47.03175,-46.937046,-47.549015,-47.442276,-47.167217,-48.327812,-49.852158,-49.618675,-47.341454,-45.193142,-46.635006,-46.905994,-46.55325,-46.89291,-45.479996,-46.97754,-45.3354,-44.63605,-44.685417,-44.56582,-45.22804,-45.210545,-44.178547,-42.448856,-42.57519,-43.71297,-43.525417,-44.12266,-45.048527,-45.132256,-45.35132,-46.419674,-46.130375,-45.654976,-45.849663,-46.317223,-46.99735,-46.81462,-48.21473,-48.502,-47.830563,-49.808727,-49.419724,-49.75994,-50.743637,-51.040108,-50.95372,-51.758015,-52.088238,-51.06704,-51.250217,-51.75657,-51.574245,-51.094765,-50.847286,-51.15496,-51.44827,-52.538544,-52.662525,-52.60505,-53.168613,-52.92985,-52.31218,-51.44155,-51.602528,-52.241596,-51.593246,-51.26969,-51.177757,-52.12862,-52.1124,-52.47844,-52.722816,-53.419212,-53.778816,-53.14643,-52.948742,-53.586384,-55.486977,-57.4957,-58.082607,-58.259487,-58.29353,-58.29337,-58.372166,-58.707428,-58.532078,-57.732536,-57.973446
neutral,male,../data/raw\Actor_07\03-01-01-01-01-01-07.wav,-50.6779,-47.932037,-41.695415,-36.51824,-33.716393,-34.660664,-36.85131,-35.59068,-37.97166,-39.868687,-40.542614,-38.944263,-37.285133,-36.03703,-38.98988,-44.56151,-42.36984,-39.78407,-38.100983,-38.68906,-40.014507,-41.37343,-41.885635,-43.5341,-44.943012,-44.019424,-43.00067,-43.59446,-46.20752,-48.199673,-48.883945,-47.890484,-47.345432,-48.08209,-48.600365,-49.46334,-50.31848,-51.751392,-52.793804,-52.626545,-51.968803,-51.875862,-52.189835,-52.419403,-51.138145,-52.21327,-53.172012,-54.69399,-54.558872,-54.277435,-53.853878,-52.401897,-53.7443,-53.576218,-54.402912,-54.909668,-55.292213,-52.606785,-53.344193,-54.960094,-53.69373,-52.240376,-52.86707,-52.895565,-52.699047,-51.1962,-50.462734,-51.92302,-52.58708,-52.913166,-53.269207,-53.076473,-51.449715,-52.07458,-53.239796,-52.13538,-51.49591,-52.221546,-52.044365,-52.125786,-52.705948,-53.40688,-55.136135,-57.003033,-57.99733,-58.982586,-59.089005,-60.143616,-59.54993,-58.67384,-58.87886,-57.90256,-58.397324,-57.67901,-57.071163,-57.061996,-57.959084,-58.372883,-58.545223,-58.466858,-58.268505,-59.310844,-60.34664,-61.07009,-61.126953,-60.90448,-61.16628,-62.288624,-63.191154,-64.16203,-64.043846,-65.08981,-65.338356,-63.774002,-62.475132,-61.970936,-62.19524,-62.125095,-62.30794,-63.116318,-63.973427,-64.954285,-66.33583,-66.79668,-66.96827,-66.96099,-66.53353,-66.88812
disgust,female,../data/raw\Actor_22\03-01-07-01-02-01-22.wav,-58.1633,-56.235905,-58.140987,-55.886295,-47.846542,-38.90029,-33.1108,-32.572823,-35.88619,-42.217907,-45.94627,-43.728992,-40.36361,-36.590702,-35.692364,-37.41364,-40.56374,-43.285236,-43.01416,-39.757694,-37.945427,-37.545094,-37.467125,-39.814785,-42.815308,-43.810036,-43.93008,-43.335125,-42.21839,-41.711845,-41.483334,-42.170197,-43.76804,-45.974773,-47.434048,-47.627163,-46.882263,-46.467915,-45.23748,-44.8799,-46.030247,-47.971874,-48.7024,-48.81679,-49.589363,-49.768154,-47.38491,-45.69839,-45.743015,-47.501583,-49.122444,-49.005665,-48.773045,-46.904823,-48.26794,-48.43797,-48.275967,-46.173695,-46.07276,-46.53334,-47.03792,-47.002888,-46.058743,-44.36333,-44.389557,-46.314438,-47.020744,-45.78664,-45.54282,-47.003613,-48.24499,-49.291107,-49.58321,-49.48699,-49.36061,-50.72497,-49.9899,-49.692677,-49.972763,-49.85104,-51.378807,-50.92,-49.739925,-50.708313,-51.202663,-50.65831,-51.991264,-52.337566,-52.274406,-52.201767,-52.76054,-52.609615,-52.240337,-53.074196,-52.821438,-52.894432,-53.356064,-53.084557,-53.03175,-53.835865,-53.99334,-54.925262,-56.01015,-57.441143,-58.344204,-59.375595,-60.454884,-60.870388,-60.737022,-60.107845,-59.201054,-58.525726,-57.04183,-55.69989,-54.621887,-54.35721,-53.217777,-52.983795,-53.523033,-53.9485,-54.38099,-54.851715,-55.044815,-55.734028,-56.520634,-57.696987,-58.704647,-60.09797
angry,female,../data/raw\Actor_18\03-01-05-02-02-02-18.wav,-43.849285,-43.155685,-42.902893,-43.27049,-43.60786,-43.105972,-42.108578,-41.04378,-40.23684,-40.382133,-40.115395,-39.808193,-38.509117,-35.860455,-32.916965,-30.73302,-29.219917,-27.972687,-25.160412,-21.941093,-19.852169,-19.955063,-21.948008,-26.011059,-28.939648,-30.491453,-32.378128,-33.875416,-33.43205,-33.033604,-32.077717,-31.367424,-31.768955,-30.863146,-29.648478,-28.663471,-27.434954,-25.21591,-22.394754,-19.486923,-17.431631,-16.66088,-17.410809,-18.346498,-19.091352,-21.263536,-22.87302,-25.276525,-26.989578,-29.981903,-31.104141,-29.75112,-29.85235,-28.00406,-27.106398,-25.499363,-24.273878,-21.132095,-19.502844,-19.374887,-20.69181,-22.265564,-24.098682,-25.795233,-28.205439,-29.91547,-29.426905,-27.728033,-26.277485,-25.10117,-25.160433,-25.051853,-26.105598,-27.429682,-28.678564,-29.916698,-28.767704,-28.120674,-26.394386,-25.638176,-26.621052,-27.582823,-28.380226,-28.75105,-28.316011,-28.115818,-26.09027,-25.611952,-26.40777,-27.635178,-27.23951,-27.192598,-25.585335,-25.37006,-25.686445,-26.422232,-25.882463,-25.55062,-25.432077,-27.62514,-29.49433,-29.714855,-29.510637,-28.344294,-29.40481,-29.745949,-29.268703,-27.656965,-27.150757,-29.115282,-30.476727,-30.76243,-31.079489,-31.27226,-31.268354,-29.8888,-29.242538,-29.374573,-29.384539,-29.430208,-30.608316,-30.99218,-30.056349,-30.504965,-31.287457,-32.02327,-33.227722,-34.200485
neutral,male,../data/raw\Actor_13\03-01-01-01-02-02-13.wav,-53.24164,-55.760727,-52.887585,-48.871212,-46.649235,-48.81373,-51.00294,-50.43662,-49.827045,-49.36035,-48.837357,-48.999855,-49.85535,-51.28339,-52.144257,-52.05496,-50.37406,-49.520824,-49.569942,-49.75007,-51.79525,-52.23866,-51.465427,-51.972996,-52.395645,-53.00701,-53.89759,-54.65061,-55.565388,-55.675446,-54.881943,-54.922012,-55.781788,-57.56585,-58.74594,-58.485825,-58.46987,-58.987366,-60.505253,-60.725628,-59.273727,-57.88185,-57.440758,-58.12835,-58.51738,-58.824253,-58.904312,-58.635536,-57.447098,-56.780483,-56.80569,-57.47871,-58.158657,-57.422733,-57.7041,-57.319866,-57.770992,-57.02526,-57.183037,-56.726498,-56.375515,-57.242996,-56.96212,-56.567204,-56.42296,-56.921886,-58.502968,-58.75921,-59.094913,-59.485397,-59.734257,-60.51846,-60.878056,-60.877335,-60.158382,-60.308346,-60.596046,-61.000717,-60.301117,-60.344658,-60.628124,-61.26229,-61.182804,-62.01603,-62.840828,-62.54586,-62.487194,-62.353687,-61.957016,-61.171215,-60.79879,-60.93032,-60.0795,-59.589226,-59.51497,-59.50503,-60.754215,-62.48731,-63.518204,-65.06302,-66.262764,-67.6135,-68.109116,-68.86912,-69.513,-69.06743,-68.670494,-68.10895,-67.769554,-66.67698,-66.05818,-64.59948,-63.84304,-63.605537,-64.07128,-64.68009,-65.9031,-66.17797,-66.45057,-66.74082,-66.90249,-67.2196,-67.91037,-68.54083,-68.702705,-68.79082,-69.183624,-69.6926
happy,male,../data/raw\Actor_23\03-01-03-01-01-02-23.wav,-51.087154,-51.69889,-52.94597,-51.222603,-46.617325,-42.919193,-40.344063,-38.824223,-38.56653,-38.180637,-38.04891,-38.024178,-39.526768,-41.70158,-44.131817,-44.69766,-44.28401,-42.797276,-41.037125,-39.59603,-39.152637,-39.90456,-41.270004,-42.635418,-43.14141,-43.62208,-44.066334,-44.380108,-45.404232,-46.35373,-46.555256,-46.503605,-46.989082,-46.97988,-46.078236,-45.993484,-45.925606,-46.510117,-46.72711,-46.66967,-47.19286,-48.16161,-48.95135,-49.059315,-47.673874,-47.000687,-46.514088,-46.27959,-46.46244,-48.06481,-47.86487,-46.679195,-47.107094,-46.158794,-46.50251,-45.340565,-45.35655,-45.323463,-46.189774,-45.81939,-45.72898,-46.719128,-47.09644,-46.776016,-47.06758,-48.223385,-48.440704,-48.380215,-48.93596,-48.532593,-48.42857,-48.34732,-48.063267,-48.509846,-48.12042,-48.582096,-47.748154,-47.483654,-48.005672,-47.80986,-47.932632,-48.427177,-49.326515,-50.452618,-49.640583,-50.335922,-51.46196,-50.884743,-50.841667,-50.19713,-49.987865,-49.100067,-48.60278,-49.232903,-49.81249,-49.87142,-51.063725,-53.187706,-54.416515,-53.7804,-54.40031,-55.137985,-56.43306,-56.308285,-56.4374,-56.677414,-56.41479,-56.45862,-56.59607,-55.844036,-55.862614,-55.33055,-54.6866,-53.19848,-53.4274,-53.873234,-55.135925,-55.27595,-55.698612,-56.454628,-56.21018,-56.247826,-56.602673,-56.517063,-56.197315,-55.947334,-56.195713,-56.698063
neutral,male,../data/raw\Actor_23\03-01-01-01-02-02-23.wav,-53.3109,-52.508076,-49.63736,-43.50877,-36.794296,-31.722422,-32.058037,-35.458687,-39.74755,-42.984253,-40.849686,-38.037598,-37.59121,-38.612656,-39.92254,-41.28415,-41.310677,-40.96369,-40.62534,-40.16208,-40.01246,-39.909054,-40.745663,-42.682777,-43.531384,-44.41011,-44.932453,-45.140495,-44.991337,-45.97228,-46.83856,-47.61457,-48.622395,-48.86378,-48.38415,-48.765335,-49.121063,-49.97022,-50.254646,-49.539207,-48.098614,-47.50873,-48.054928,-49.711494,-50.729935,-50.46976,-48.96124,-47.69029,-47.29165,-49.675644,-49.62275,-47.274746,-47.333023,-46.81737,-48.747883,-48.007195,-47.70323,-47.509247,-48.437843,-48.067627,-47.204617,-47.547573,-48.298607,-47.51484,-47.79501,-49.73666,-49.50263,-49.18249,-50.095516,-49.636208,-49.55272,-50.823322,-49.43152,-49.274494,-51.21496,-50.12961,-49.472378,-49.604656,-47.85523,-48.74559,-49.243275,-48.759613,-50.132427,-51.220108,-50.794945,-51.33291,-51.66574,-51.53424,-51.218513,-50.741734,-50.64901,-50.67363,-51.60664,-52.599453,-53.36444,-55.150158,-56.08828,-57.8751,-58.288673,-58.06356,-59.56011,-60.736866,-60.864525,-61.270027,-61.546173,-61.67253,-61.089775,-60.905163,-60.580242,-60.24381,-60.29112,-59.731422,-58.90343,-59.011284,-60.30529,-61.16875,-61.099525,-61.122917,-61.189648,-60.742428,-60.593796,-61.193436,-61.893036,-61.67228,-61.75024,-61.466953,-61.518433,-61.332928
surprise,female,../data/raw\Actor_06\03-01-08-01-01-02-06.wav,-66.10913,-66.242516,-68.01864,-67.07493,-63.37909,-56.73212,-52.37962,-48.8424,-46.937996,-46.101967,-46.806034,-48.87738,-51.991756,-53.85253,-54.38454,-54.139236,-52.960495,-52.153828,-51.78962,-51.29523,-51.212948,-50.701042,-49.946026,-50.548637,-51.577785,-51.446976,-51.33703,-51.568077,-52.998962,-53.617493,-53.847717,-54.28612,-54.425056,-54.747,-53.268093,-52.745804,-52.992817,-54.791767,-56.692657,-57.958893,-58.207386,-58.473137,-57.903595,-56.457275,-55.895626,-56.08942,-57.093674,-58.78713,-59.457912,-60.002575,-58.88614,-56.694576,-56.79913,-56.473385,-57.01455,-56.83992,-57.50619,-57.11794,-56.599358,-56.357174,-56.982384,-56.30147,-55.857204,-55.497086,-56.296436,-57.196354,-57.65678,-56.53284,-55.195816,-55.46989,-57.335606,-58.07738,-57.001507,-55.84073,-57.26647,-59.66167,-59.650978,-58.721886,-58.593807,-59.76968,-59.703598,-60.477375,-61.17876,-59.35675,-59.17704,-60.959667,-61.062206,-60.647385,-61.725254,-62.041573,-62.146496,-62.722992,-62.20627,-61.901558,-60.699986,-60.235165,-60.535618,-60.05117,-61.41567,-61.57254,-61.16198,-61.458073,-61.374336,-61.43039,-62.7658,-64.07211,-64.716255,-66.40476,-67.81149,-67.8105,-68.07298,-67.82063,-67.66746,-68.077354,-68.068085,-68.04729,-68.087845,-68.18034,-68.43977,-68.07985,-68.199844,-68.25596,-68.51465,-68.09425,-67.38495,-66.85172,-66.26983,-65.99831
happy,male,../data/raw\Actor_09\03-01-03-01-01-01-09.wav,-51.254337,-46.8376,-38.218815,-35.272457,-37.353252,-41.395573,-38.26191,-36.37667,-37.00724,-40.53536,-42.366215,-42.81424,-43.51155,-43.742596,-42.230755,-42.050846,-42.83932,-44.130444,-43.49422,-42.38041,-42.779247,-45.000397,-46.929703,-48.705837,-49.57406,-50.673027,-50.97382,-51.620636,-52.773388,-54.42857,-54.528267,-54.013535,-54.876625,-56.88325,-57.583084,-58.10393,-58.24515,-59.35326,-59.270813,-59.202934,-59.11842,-59.044224,-59.09351,-59.37984,-57.467365,-57.390434,-56.960373,-56.434025,-56.58982,-58.283123,-57.889397,-56.781544,-57.25765,-55.756744,-55.844482,-55.57241,-57.631992,-57.730595,-57.150738,-57.053802,-57.740253,-58.216934,-58.918186,-58.895496,-59.353928,-59.30955,-59.26546,-59.69539,-59.967407,-59.515083,-59.481365,-59.171253,-59.08363,-59.784397,-60.82347,-61.319042,-61.815773,-63.30398,-63.084316,-62.94448,-63.834255,-64.85123,-63.72078,-64.110634,-64.24841,-64.05695,-64.104225,-64.16358,-63.01572,-62.64336,-62.73708,-63.741955,-65.24402,-66.71781,-66.54149,-66.930954,-67.2739,-67.99293,-69.4352,-70.5213,-71.2825,-71.8409,-71.32258,-71.04667,-70.78195,-71.10788,-70.82382,-70.7525,-70.33792,-71.02905,-71.09522,-71.32558,-70.957825,-71.43938,-72.24112,-72.38779,-72.100624,-72.0515,-71.40553,-71.59035,-70.6924,-70.2446,-70.35942,-70.589485,-71.076836,-71.88694,-72.08405,-72.05088
angry,male,../data/raw\Actor_01\03-01-05-01-01-01-01.wav,-49.2608,-47.48596,-44.06832,-38.74679,-33.517036,-30.64202,-31.068943,-33.220585,-35.3841,-33.998905,-33.370617,-33.88367,-34.878952,-35.404305,-37.46623,-37.50031,-36.07134,-35.243237,-34.46127,-33.237858,-34.024403,-36.223198,-37.894005,-39.21154,-38.91515,-37.4927,-37.44854,-38.871994,-40.72477,-41.81487,-41.040516,-39.571686,-39.97955,-41.301445,-43.205154,-44.820675,-43.378914,-42.368336,-41.93805,-41.700706,-42.02878,-42.904938,-44.07431,-44.298897,-41.933617,-42.016376,-41.88372,-41.051468,-41.118053,-43.316597,-43.17948,-42.16888,-42.131386,-41.26067,-42.484512,-42.228817,-42.56929,-42.60402,-43.702145,-43.862114,-43.48619,-44.081715,-44.10034,-43.70368,-44.159607,-45.30113,-44.864246,-44.07688,-45.44811,-46.20396,-45.578945,-44.948265,-44.774494,-44.35201,-44.22077,-44.64105,-44.20127,-43.839104,-43.328873,-42.434906,-42.60551,-42.12422,-42.139378,-43.123676,-42.526264,-43.487217,-44.221138,-44.31509,-45.060406,-44.14785,-43.968163,-43.930267,-43.48365,-42.954144,-43.20989,-44.18727,-46.008472,-47.653557,-48.72516,-48.332542,-48.539486,-48.77981,-49.156307,-49.220665,-49.640343,-50.1115,-50.817627,-50.705116,-50.80924,-51.079483,-50.703606,-49.918358,-48.74401,-47.68063,-47.091156,-46.86512,-47.71689,-48.437218,-49.055374,-49.869186,-50.15991,-50.380943,-49.887787,-50.164516,-51.76368,-52.532593,-52.95298,-53.292683
