emotion,gender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
fear,male,-49.749237060546875,-50.14337921142578,-46.30770492553711,-41.06877517700195,-36.72980499267578,-33.03410720825195,-32.67991638183594,-34.63406753540039,-35.45057678222656,-35.23018264770508,-35.04610061645508,-34.220672607421875,-35.06816482543945,-34.64995193481445,-34.54397964477539,-34.9889030456543,-35.12062072753906,-36.19111251831055,-36.60438919067383,-35.332401275634766,-34.43806457519531,-36.14845657348633,-37.556922912597656,-39.80830001831055,-41.5655632019043,-40.29291534423828,-39.496673583984375,-39.10279083251953,-40.098838806152344,-42.20852279663086,-43.417781829833984,-42.27528381347656,-41.769351959228516,-42.33906173706055,-43.15235900878906,-44.810970306396484,-44.815547943115234,-44.976802825927734,-46.27375411987305,-47.0317497253418,-46.93704605102539,-47.549015045166016,-47.44227600097656,-47.16721725463867,-48.32781219482422,-49.85215759277344,-49.618675231933594,-47.341453552246094,-45.19314193725586,-46.635005950927734,-46.9059944152832,-46.55324935913086,-46.89291000366211,-45.47999572753906,-46.9775390625,-45.33539962768555,-44.636051177978516,-44.68541717529297,-44.565818786621094,-45.2280387878418,-45.21054458618164,-44.17854690551758,-42.448856353759766,-42.575191497802734,-43.71297073364258,-43.52541732788086,-44.12266159057617,-45.048526763916016,-45.13225555419922,-45.351318359375,-46.419673919677734,-46.130374908447266,-45.65497589111328,-45.84966278076172,-46.317222595214844,-46.99734878540039,-46.81462097167969,-48.21472930908203,-48.50199890136719,-47.830562591552734,-49.8087272644043,-49.41972351074219,-49.75994110107422,-50.74363708496094,-51.04010772705078,-50.95372009277344,-51.75801467895508,-52.08823776245117,-51.067039489746094,-51.25021743774414,-51.756568908691406,-51.57424545288086,-51.094764709472656,-50.847286224365234,-51.15496063232422,-51.44826889038086,-52.538543701171875,-52.66252517700195,-52.60504913330078,-53.16861343383789,-52.92985153198242,-52.31217956542969,-51.441551208496094,-51.6025276184082,-52.24159622192383,-51.59324645996094,-51.269691467285156,-51.177757263183594,-52.12862014770508,-52.11240005493164,-52.47843933105469,-52.722816467285156,-53.419212341308594,-53.77881622314453,-53.14643096923828,-52.9487419128418,-53.58638381958008,-55.486976623535156,-57.49570083618164,-58.08260726928711,-58.25948715209961,-58.29352951049805,-58.29336929321289,-58.37216567993164,-58.707427978515625,-58.53207778930664,-57.73253631591797,-57.973445892333984
fear,male,-31.42102918895825,-31.730130896662267,-31.204820444576843,-28.801933223767378,-25.713619680446463,-22.753410749415366,-22.46278347410883,-24.040935914405505,-25.14547647300996,-25.60847717869751,-25.2509373188001,-24.562541722383397,-24.923897251966384,-24.164901536668587,-23.95557398022557,-24.948202164971878,-24.775010563219357,-25.736055911458944,-26.35514058551019,-25.720259731315803,-24.57844863458486,-24.84704228969053,-25.635257082138022,-27.17357778728152,-28.474181260359664,-27.727386836420436,-26.70975692646718,-26.440376587329837,-27.102611258489254,-27.945889402216757,-28.895021878142888,-28.337600007313043,-27.97538278466761,-28.053870851594912,-28.07034503257378,-29.062632146188065,-29.129716761282527,-29.60551376366601,-30.26947445169876,-29.76787246984212,-29.352362272572286,-30.131120670543623,-30.070324030956062,-30.212601668481852,-29.953678549145145,-30.451683826125986,-30.58624536940185,-30.34566974417464,-28.984073860633753,-30.09938808021934,-30.316891359138296,-29.353158815325525,-30.188912982690038,-30.06189943739598,-30.745287607579815,-30.052577098539167,-30.103956235126194,-29.716798300836643,-29.612551243983496,-30.150750541679685,-30.116963714549854,-30.080391660371106,-29.637597632347305,-29.360230875995978,-29.655736193028897,-29.792064500452053,-29.738700285668614,-29.13884852267863,-29.116172456907087,-29.013712875184233,-29.66480392749127,-29.553939224242356,-29.66276285013046,-29.62790317175732,-30.013853444360908,-30.435822981113485,-29.697094271135377,-30.211946390535708,-29.9970389207179,-29.477872377791925,-30.048957962073214,-30.204200417777987,-30.50428391414679,-30.661136075460288,-30.595231816420362,-31.063000907928604,-30.89804366021133,-30.70121333647569,-30.44464330333405,-30.59902246939614,-30.410468305582548,-30.276960613589065,-30.282686767955227,-30.379032896472918,-30.295093421851913,-30.7449017290235,-30.679657664954167,-30.68679598975774,-30.19389388358227,-30.372358512775453,-30.034957845312128,-29.994952562268743,-30.279802400025943,-30.36616915634844,-30.31473457792601,-30.18573602421941,-30.136736815611275,-30.203042545427373,-30.17070449780552,-30.131018963186676,-30.331774035958457,-30.09174231062459,-30.69789863238513,-30.35670269951094,-30.529410972727216,-30.35962822318379,-30.37567465598632,-30.697401379498917,-30.67301130627751,-30.550795519369142,-30.492589356770054,-30.49850597106433,-30.32422980610055,-30.390916246923624,-30.544795743991347,-30.807579417564746,-30.71851767922715,-30.523518475777212
fear,male,-49.655269622802734,-50.10837936401367,-46.24945831298828,-41.00094223022461,-36.70001220703125,-33.01869201660156,-32.648353576660156,-34.61449432373047,-35.42721176147461,-35.144805908203125,-34.97394943237305,-34.19162368774414,-35.001224517822266,-34.62618637084961,-34.524024963378906,-34.951290130615234,-35.06734848022461,-36.17195129394531,-36.60517501831055,-35.31379318237305,-34.441246032714844,-36.15138626098633,-37.4954833984375,-39.77555465698242,-41.5638427734375,-40.305599212646484,-39.48929977416992,-39.12998962402344,-40.10664367675781,-42.19762420654297,-43.405799865722656,-42.27404022216797,-41.75188446044922,-42.332462310791016,-43.14692306518555,-44.76942825317383,-44.823089599609375,-45.00062561035156,-46.29068374633789,-47.02717590332031,-46.950801849365234,-47.56363296508789,-47.46657180786133,-47.17432403564453,-48.33850860595703,-49.855316162109375,-49.63032531738281,-47.35007095336914,-45.217926025390625,-46.63292694091797,-46.91059875488281,-46.57669448852539,-46.896480560302734,-45.497032165527344,-46.98069763183594,-45.29530715942383,-44.64274215698242,-44.67774963378906,-44.56056213378906,-45.217105865478516,-45.19572067260742,-44.12449645996094,-42.42854690551758,-42.57109451293945,-43.73723602294922,-43.54465866088867,-44.14765167236328,-45.04937744140625,-45.11454772949219,-45.351776123046875,-46.42706298828125,-46.13336181640625,-45.66963577270508,-45.840850830078125,-46.3284797668457,-47.02355194091797,-46.81013107299805,-48.21462631225586,-48.50518035888672,-47.83212661743164,-49.81451416015625,-49.42678451538086,-49.76131057739258,-50.751102447509766,-51.049922943115234,-50.959266662597656,-51.766578674316406,-52.09431457519531,-51.0809326171875,-51.27050018310547,-51.78118896484375,-51.59137725830078,-51.10308837890625,-50.8567008972168,-51.16498947143555,-51.45347213745117,-52.555023193359375,-52.67321014404297,-52.60496520996094,-53.17741012573242,-52.94026184082031,-52.32196044921875,-51.45209884643555,-51.613914489746094,-52.24892044067383,-51.60177230834961,-51.27669143676758,-51.18377685546875,-52.13115310668945,-52.1143798828125,-52.476280212402344,-52.723167419433594,-53.423187255859375,-53.77949905395508,-53.146732330322266,-52.95056915283203,-53.5855598449707,-55.48536682128906,-57.49745178222656,-58.082542419433594,-58.26401138305664,-58.30034255981445,-58.30007553100586,-58.37467956542969,-58.71318435668945,-58.537052154541016,-57.73723220825195,-57.97607421875
fear,male,-53.31121826171875,-52.53532791137695,-48.5271110534668,-44.09080123901367,-39.75482177734375,-35.93124771118164,-34.99079513549805,-36.65373611450195,-37.728431701660156,-38.387176513671875,-38.86210250854492,-38.00984573364258,-38.41305160522461,-37.53077697753906,-37.02288818359375,-37.81092071533203,-37.59812927246094,-39.1485710144043,-39.740291595458984,-38.0155029296875,-36.833900451660156,-38.507938385009766,-40.21913146972656,-42.82965850830078,-45.00751495361328,-43.766719818115234,-42.51738739013672,-41.9201545715332,-43.16490936279297,-45.362491607666016,-46.341487884521484,-45.222042083740234,-44.81633377075195,-45.96403503417969,-45.808712005615234,-47.46952438354492,-47.70878601074219,-47.872989654541016,-49.16835021972656,-49.92298126220703,-49.78669357299805,-50.05556106567383,-49.967918395996094,-50.09635925292969,-51.750099182128906,-53.25636672973633,-52.815589904785156,-49.97555160522461,-47.61206817626953,-50.079044342041016,-50.468509674072266,-49.612220764160156,-49.70586013793945,-48.4848747253418,-50.217063903808594,-48.429264068603516,-47.74807357788086,-47.5753173828125,-47.32901382446289,-48.25803756713867,-47.55282211303711,-47.30665588378906,-46.03557205200195,-45.95177459716797,-46.501121520996094,-46.12040328979492,-47.533653259277344,-48.33552932739258,-48.15941619873047,-47.7026252746582,-48.68356704711914,-48.67616653442383,-48.06071472167969,-48.562191009521484,-49.63551330566406,-50.19325256347656,-49.841373443603516,-51.12356185913086,-51.606971740722656,-51.02519989013672,-52.67666244506836,-52.11004638671875,-52.4135856628418,-53.37991714477539,-54.153133392333984,-53.9619026184082,-54.2495002746582,-54.57823181152344,-53.715606689453125,-53.8338623046875,-54.40581130981445,-53.946807861328125,-53.353736877441406,-54.04832077026367,-54.35614013671875,-53.83221435546875,-54.72732162475586,-55.150699615478516,-55.278099060058594,-55.64812088012695,-55.256866455078125,-54.746463775634766,-53.79097366333008,-54.10709762573242,-54.4631233215332,-54.57450485229492,-54.72799301147461,-53.94744873046875,-54.684974670410156,-54.618892669677734,-55.249908447265625,-55.498504638671875,-55.98366928100586,-56.57798385620117,-56.09077835083008,-55.70065689086914,-56.12541580200195,-58.3128547668457,-60.18874740600586,-60.79509735107422,-61.233909606933594,-61.26614761352539,-61.01878356933594,-61.3662223815918,-61.435157775878906,-61.563880920410156,-60.566795349121094,-60.50156021118164
fear,male,-50.68185043334961,-51.51784896850586,-48.423179626464844,-43.861053466796875,-39.14944839477539,-34.85525131225586,-34.20859146118164,-36.92685317993164,-38.4176139831543,-37.755882263183594,-37.08130645751953,-35.88026428222656,-36.51731872558594,-35.99177551269531,-35.60675811767578,-36.47895431518555,-36.5989875793457,-37.540367126464844,-37.85734939575195,-36.73985290527344,-35.652915954589844,-37.745723724365234,-40.831748962402344,-43.69012451171875,-43.060916900634766,-41.46746063232422,-40.65167999267578,-40.26279067993164,-41.20195770263672,-43.480506896972656,-45.02143096923828,-44.193504333496094,-43.878273010253906,-44.15793228149414,-44.763492584228516,-46.06814956665039,-45.82169723510742,-45.938602447509766,-47.30419158935547,-48.07086181640625,-48.2221565246582,-48.72795104980469,-49.16922378540039,-49.389278411865234,-51.44855499267578,-53.06494140625,-52.26042938232422,-50.189537048339844,-48.43861770629883,-49.54920959472656,-48.99481964111328,-48.1412467956543,-48.77997589111328,-46.560272216796875,-47.94916534423828,-47.14790344238281,-46.42763137817383,-46.91630554199219,-47.750274658203125,-47.62934112548828,-47.09609603881836,-46.32789993286133,-44.12556076049805,-44.11103439331055,-46.049739837646484,-45.44086837768555,-46.927894592285156,-47.29931640625,-46.99684143066406,-47.61188507080078,-48.32152557373047,-47.43849563598633,-46.730255126953125,-46.58130645751953,-47.75834655761719,-49.95978927612305,-49.384376525878906,-50.555381774902344,-50.331424713134766,-49.15224838256836,-51.70608139038086,-51.857364654541016,-52.328617095947266,-52.57014846801758,-52.190147399902344,-52.81945037841797,-53.79325485229492,-54.581111907958984,-52.59776306152344,-52.53118896484375,-53.80170440673828,-52.73587417602539,-52.39134979248047,-52.192928314208984,-53.380210876464844,-53.92607879638672,-53.79547882080078,-53.87932205200195,-54.07817077636719,-54.97296142578125,-54.52842330932617,-54.59427261352539,-52.714656829833984,-52.83386993408203,-54.4954719543457,-54.39079666137695,-53.991275787353516,-53.626930236816406,-54.650909423828125,-54.35185623168945,-54.91473388671875,-55.25249481201172,-55.371788024902344,-56.30680465698242,-55.502098083496094,-54.512779235839844,-55.49715042114258,-56.861751556396484,-59.21029281616211,-59.799530029296875,-60.03931427001953,-60.0967903137207,-59.93963623046875,-60.33815002441406,-60.587711334228516,-60.84004211425781,-59.95306396484375,-59.55500030517578
fear,male,-48.23029708862305,-48.62443923950195,-44.78876876831055,-39.549835205078125,-35.21086120605469,-31.515169143676758,-31.160980224609375,-33.11512756347656,-33.931636810302734,-33.711246490478516,-33.527164459228516,-32.70173645019531,-33.54922866821289,-33.131011962890625,-33.0250358581543,-33.469966888427734,-33.60169219970703,-34.67217254638672,-35.085453033447266,-33.8134651184082,-32.919124603271484,-34.6295166015625,-36.03798294067383,-38.28936004638672,-40.046627044677734,-38.77397918701172,-37.97773742675781,-37.5838508605957,-38.57990264892578,-40.68958282470703,-41.898841857910156,-40.75634765625,-40.25041198730469,-40.820125579833984,-41.6334228515625,-43.29203414916992,-43.29661178588867,-43.45786666870117,-44.75481414794922,-45.512813568115234,-45.418113708496094,-46.03007888793945,-45.92333984375,-45.648277282714844,-46.80887222290039,-48.333213806152344,-48.09973907470703,-45.822513580322266,-43.67420196533203,-45.11606979370117,-45.38705825805664,-45.03431701660156,-45.37397384643555,-43.9610595703125,-45.45859909057617,-43.81645965576172,-43.11711502075195,-43.16647720336914,-43.04688262939453,-43.709102630615234,-43.69160461425781,-42.659610748291016,-40.9299201965332,-41.056251525878906,-42.194034576416016,-42.00647735595703,-42.60371780395508,-43.52958679199219,-43.613319396972656,-43.83237838745117,-44.90073776245117,-44.61144256591797,-44.13603591918945,-44.330726623535156,-44.79829025268555,-45.47841262817383,-45.295684814453125,-46.695796966552734,-46.98305892944336,-46.31161880493164,-48.28978729248047,-47.90078353881836,-48.24100875854492,-49.22469711303711,-49.52116775512695,-49.434783935546875,-50.23907470703125,-50.56930160522461,-49.54810333251953,-49.73128128051758,-50.23762893676758,-50.0553092956543,-49.57582473754883,-49.328346252441406,-49.636024475097656,-49.929325103759766,-51.01959991455078,-51.14358901977539,-51.08610916137695,-51.64967346191406,-51.41091537475586,-50.793243408203125,-49.92261505126953,-50.08358383178711,-50.722660064697266,-50.07430648803711,-49.750755310058594,-49.658817291259766,-50.609676361083984,-50.59345626831055,-50.959503173828125,-51.20387268066406,-51.9002685546875,-52.25988006591797,-51.62748718261719,-51.4298095703125,-52.06744384765625,-53.968040466308594,-55.97676467895508,-56.56366729736328,-56.740543365478516,-56.77458953857422,-56.77443313598633,-56.85322189331055,-57.1884880065918,-57.01313781738281,-56.213592529296875,-56.45450210571289
neutral,male,-50.67789840698242,-47.932037353515625,-41.69541549682617,-36.51824188232422,-33.716392517089844,-34.66066360473633,-36.85131072998047,-35.59067916870117,-37.97166061401367,-39.86868667602539,-40.5426139831543,-38.94426345825195,-37.285133361816406,-36.03702926635742,-38.9898796081543,-44.56150817871094,-42.36983871459961,-39.7840690612793,-38.100982666015625,-38.68906021118164,-40.01450729370117,-41.37342834472656,-41.88563537597656,-43.53409957885742,-44.94301223754883,-44.01942443847656,-43.00067138671875,-43.594459533691406,-46.20751953125,-48.19967269897461,-48.88394546508789,-47.89048385620117,-47.34543228149414,-48.082088470458984,-48.600364685058594,-49.463340759277344,-50.3184814453125,-51.75139236450195,-52.79380416870117,-52.62654495239258,-51.96880340576172,-51.87586212158203,-52.18983459472656,-52.419403076171875,-51.138145446777344,-52.2132682800293,-53.17201232910156,-54.69398880004883,-54.55887222290039,-54.277435302734375,-53.853878021240234,-52.40189743041992,-53.744300842285156,-53.57621765136719,-54.40291213989258,-54.90966796875,-55.292213439941406,-52.60678482055664,-53.34419250488281,-54.9600944519043,-53.693729400634766,-52.24037551879883,-52.867069244384766,-52.895565032958984,-52.69904708862305,-51.19620132446289,-50.46273422241211,-51.92301940917969,-52.58707809448242,-52.91316604614258,-53.26920700073242,-53.076473236083984,-51.44971466064453,-52.074581146240234,-53.23979568481445,-52.135379791259766,-51.49591064453125,-52.2215461730957,-52.04436492919922,-52.12578582763672,-52.70594787597656,-53.40687942504883,-55.13613510131836,-57.00303268432617,-57.99732971191406,-58.98258590698242,-59.08900451660156,-60.14361572265625,-59.549930572509766,-58.6738395690918,-58.87886047363281,-57.90256118774414,-58.39732360839844,-57.67900848388672,-57.071163177490234,-57.06199645996094,-57.959083557128906,-58.37288284301758,-58.545223236083984,-58.46685791015625,-58.26850509643555,-59.31084442138672,-60.346641540527344,-61.070091247558594,-61.126953125,-60.90447998046875,-61.16627883911133,-62.28862380981445,-63.19115447998047,-64.16203308105469,-64.0438461303711,-65.08981323242188,-65.3383560180664,-63.77400207519531,-62.47513198852539,-61.9709358215332,-62.19524002075195,-62.12509536743164,-62.30794143676758,-63.11631774902344,-63.973426818847656,-64.95428466796875,-66.33583068847656,-66.79667663574219,-66.96826934814453,-66.96099090576172,-66.53353118896484,-66.88812255859375
neutral,male,-31.567907497942834,-31.267568983844267,-28.516362441277014,-25.7932737807495,-23.63913879778245,-23.92118803134096,-25.35890037595683,-24.014560120982406,-24.8417658740346,-26.41018501546081,-27.900610214729276,-26.84132346699868,-24.55552471483478,-23.27225846571968,-25.752466447553747,-29.246133579063383,-27.63743649434348,-25.980275853322354,-24.84707149748234,-25.03809582056312,-26.011520568281068,-27.0224338554159,-27.53097907310726,-28.94646351014151,-28.60648793430522,-28.197267928869234,-28.021916236151064,-28.248622817612233,-29.471513757117528,-29.972961376881123,-29.511592093180465,-28.880609694962576,-29.16197787630942,-30.349136418592053,-30.075931339637638,-29.833682884915117,-29.912024323244516,-30.25975209934497,-30.825064841127023,-30.74030719216559,-30.988076189873922,-31.109324727310995,-31.38153738539893,-31.143575912742357,-29.488661243056875,-30.308338225774882,-31.166706369248647,-31.963971417936918,-30.5839463821621,-30.632135948396577,-30.680946871970953,-29.993384250707262,-31.966763428463015,-31.36295440252843,-31.84382916587335,-31.174177213360828,-31.460441000941017,-30.45577874708941,-31.43241834990857,-31.662184116479335,-31.23646444902308,-30.949236953624222,-30.634561657339283,-30.701577167824517,-30.743489629973773,-30.244183682562362,-29.79631950797209,-30.16401956242597,-30.88572820947931,-31.077757839665395,-30.662400952567587,-30.93875756972932,-30.54821733085299,-30.240000961847983,-30.366400284409526,-29.887769022912153,-30.065467299554722,-30.407781890163932,-29.85957245564783,-29.42568983290718,-30.179296429627065,-30.176673907416195,-30.723595873094382,-30.831428406597425,-30.652053218073036,-30.863405434324864,-31.184393722375553,-31.333392918662692,-30.94495592317836,-30.531494464040396,-30.81506983819921,-31.081778196535588,-30.906440971372238,-30.694091486686492,-30.66538960939703,-30.818918827176994,-30.785290634303223,-30.856230363715156,-30.87414290040191,-30.550345446013022,-30.78255863351666,-30.780871114167578,-30.691755002523752,-30.41701400486751,-30.36643213225967,-30.339705862989028,-30.91922462991449,-31.045810846200283,-30.657204390742848,-30.838114227795554,-30.762333797322288,-30.736560942677983,-30.74539993384717,-31.109372932178342,-30.70909167310615,-30.241303555252088,-30.516408335502973,-30.71350790102292,-30.572887680577246,-30.5292610201572,-30.5929829137934,-30.98589756311748,-31.086965276242097,-31.076147042568394,-30.764182604882322,-30.7445148199957,-30.541470802414345,-30.539794333807553
neutral,male,-50.73453903198242,-47.84006118774414,-41.6351203918457,-36.47418212890625,-33.65128707885742,-34.582122802734375,-36.84821319580078,-35.57001495361328,-38.01355743408203,-39.83525848388672,-40.48497009277344,-38.95768737792969,-37.26471710205078,-36.0349006652832,-39.02500915527344,-44.5350227355957,-42.25754165649414,-39.73504638671875,-38.13546371459961,-38.678932189941406,-40.009124755859375,-41.325653076171875,-41.83769226074219,-43.54825973510742,-44.95211410522461,-44.097381591796875,-42.9699821472168,-43.5980224609375,-46.17881393432617,-48.19190979003906,-48.8962287902832,-47.8658447265625,-47.35422134399414,-48.14018630981445,-48.559844970703125,-49.52828598022461,-50.31730270385742,-51.74681854248047,-52.84535598754883,-52.632171630859375,-51.98836135864258,-51.90894317626953,-52.16667938232422,-52.41742706298828,-51.18180465698242,-52.18675231933594,-53.25710678100586,-54.67707824707031,-54.55279541015625,-54.30011749267578,-53.86209487915039,-52.417964935302734,-53.747684478759766,-53.58069610595703,-54.468482971191406,-54.939964294433594,-55.306339263916016,-52.60834884643555,-53.34251022338867,-55.001304626464844,-53.70621109008789,-52.252418518066406,-52.89765167236328,-52.914833068847656,-52.72640609741211,-51.22021484375,-50.48416519165039,-51.914268493652344,-52.5780029296875,-52.919734954833984,-53.28441619873047,-53.03744125366211,-51.44664001464844,-52.062313079833984,-53.25392150878906,-52.13436508178711,-51.48756790161133,-52.215171813964844,-52.05948257446289,-52.126441955566406,-52.73153305053711,-53.407161712646484,-55.134090423583984,-57.00090026855469,-57.9895133972168,-58.98335647583008,-59.098876953125,-60.176231384277344,-59.575660705566406,-58.689056396484375,-58.893348693847656,-57.91684341430664,-58.42799758911133,-57.715328216552734,-57.088130950927734,-57.066829681396484,-57.98530197143555,-58.39229965209961,-58.56142044067383,-58.468994140625,-58.24925231933594,-59.29335403442383,-60.31501007080078,-61.03349304199219,-61.11452102661133,-60.88975524902344,-61.15731430053711,-62.27641296386719,-63.186912536621094,-64.16923522949219,-64.04916381835938,-65.10295104980469,-65.37328338623047,-63.81294631958008,-62.49400329589844,-61.98310089111328,-62.20524978637695,-62.157920837402344,-62.32991409301758,-63.124080657958984,-63.98874282836914,-64.97886657714844,-66.35631561279297,-66.8253173828125,-67.01985931396484,-67.00679016113281,-66.58394622802734,-66.93463134765625
neutral,male,-55.4680290222168,-51.443359375,-45.01683044433594,-39.96856689453125,-37.061710357666016,-38.049983978271484,-40.63975143432617,-39.59427261352539,-41.70369338989258,-43.20149230957031,-43.71826934814453,-42.67769241333008,-41.51164245605469,-40.08740234375,-43.373252868652344,-48.34590530395508,-45.55459213256836,-43.17121124267578,-41.671058654785156,-42.48572540283203,-44.08148193359375,-45.23346710205078,-45.79853439331055,-47.71034622192383,-49.09295654296875,-48.26165771484375,-47.17534255981445,-47.322303771972656,-49.345924377441406,-51.333656311035156,-52.91658020019531,-52.60877227783203,-51.883445739746094,-51.78052520751953,-52.40165328979492,-53.50779724121094,-54.12843322753906,-55.11275100708008,-55.94163131713867,-55.98977279663086,-55.66348648071289,-56.11373519897461,-56.44695281982422,-56.08522033691406,-54.739341735839844,-55.89996337890625,-56.7813835144043,-58.976478576660156,-58.92457962036133,-58.64160919189453,-57.78056716918945,-56.162925720214844,-57.12335205078125,-56.65989685058594,-57.65326690673828,-59.16627502441406,-59.37433624267578,-56.19059753417969,-57.084800720214844,-58.868289947509766,-57.01487350463867,-55.79814529418945,-56.391151428222656,-56.38597106933594,-56.28911209106445,-55.16007614135742,-54.26885223388672,-55.37834930419922,-55.466854095458984,-56.49998092651367,-56.915035247802734,-56.80584716796875,-55.02656936645508,-55.384090423583984,-56.487640380859375,-55.56885528564453,-54.70572280883789,-55.62395477294922,-55.37200164794922,-55.54536819458008,-56.182926177978516,-56.6205940246582,-58.64895248413086,-60.167293548583984,-61.23440170288086,-62.2157096862793,-62.66145324707031,-63.83091354370117,-63.043357849121094,-62.08050537109375,-62.15530014038086,-60.80496597290039,-62.05146408081055,-61.34859085083008,-60.19670867919922,-60.07258605957031,-61.628055572509766,-62.14739227294922,-61.47520065307617,-61.24969482421875,-61.11865234375,-62.43596649169922,-63.151248931884766,-64.2747573852539,-64.17876434326172,-64.42620086669922,-64.28958129882812,-65.38235473632812,-66.36994171142578,-67.59903717041016,-66.94881439208984,-67.9847640991211,-68.1387710571289,-67.04061889648438,-65.53063201904297,-64.32646942138672,-64.79987335205078,-64.95272064208984,-65.2697982788086,-65.86296081542969,-67.18240356445312,-68.46617126464844,-70.02082824707031,-70.35253143310547,-70.42713165283203,-70.14545440673828,-69.4608383178711,-69.79796600341797
