path,emotion
../data/raw\Actor_01\03-01-01-01-01-01-01.wav,neutral
../data/raw\Actor_01\03-01-01-01-01-02-01.wav,neutral
../data/raw\Actor_01\03-01-01-01-02-01-01.wav,neutral
../data/raw\Actor_01\03-01-01-01-02-02-01.wav,neutral
../data/raw\Actor_01\03-01-02-01-01-01-01.wav,calm
../data/raw\Actor_01\03-01-02-01-01-02-01.wav,calm
../data/raw\Actor_01\03-01-02-01-02-01-01.wav,calm
../data/raw\Actor_01\03-01-02-01-02-02-01.wav,calm
../data/raw\Actor_01\03-01-02-02-01-01-01.wav,calm
../data/raw\Actor_01\03-01-02-02-01-02-01.wav,calm
../data/raw\Actor_01\03-01-02-02-02-01-01.wav,calm
../data/raw\Actor_01\03-01-02-02-02-02-01.wav,calm
../data/raw\Actor_01\03-01-03-01-01-01-01.wav,happy
../data/raw\Actor_01\03-01-03-01-01-02-01.wav,happy
../data/raw\Actor_01\03-01-03-01-02-01-01.wav,happy
../data/raw\Actor_01\03-01-03-01-02-02-01.wav,happy
../data/raw\Actor_01\03-01-03-02-01-01-01.wav,happy
../data/raw\Actor_01\03-01-03-02-01-02-01.wav,happy
../data/raw\Actor_01\03-01-03-02-02-01-01.wav,happy
../data/raw\Actor_01\03-01-03-02-02-02-01.wav,happy
../data/raw\Actor_01\03-01-04-01-01-01-01.wav,sad
../data/raw\Actor_01\03-01-04-01-01-02-01.wav,sad
../data/raw\Actor_01\03-01-04-01-02-01-01.wav,sad
../data/raw\Actor_01\03-01-04-01-02-02-01.wav,sad
../data/raw\Actor_01\03-01-04-02-01-01-01.wav,sad
../data/raw\Actor_01\03-01-04-02-01-02-01.wav,sad
../data/raw\Actor_01\03-01-04-02-02-01-01.wav,sad
../data/raw\Actor_01\03-01-04-02-02-02-01.wav,sad
../data/raw\Actor_01\03-01-05-01-01-01-01.wav,angry
../data/raw\Actor_01\03-01-05-01-01-02-01.wav,angry
../data/raw\Actor_01\03-01-05-01-02-01-01.wav,angry
../data/raw\Actor_01\03-01-05-01-02-02-01.wav,angry
../data/raw\Actor_01\03-01-05-02-01-01-01.wav,angry
../data/raw\Actor_01\03-01-05-02-01-02-01.wav,angry
../data/raw\Actor_01\03-01-05-02-02-01-01.wav,angry
../data/raw\Actor_01\03-01-05-02-02-02-01.wav,angry
../data/raw\Actor_01\03-01-06-01-01-01-01.wav,fear
../data/raw\Actor_01\03-01-06-01-01-02-01.wav,fear
../data/raw\Actor_01\03-01-06-01-02-01-01.wav,fear
../data/raw\Actor_01\03-01-06-01-02-02-01.wav,fear
../data/raw\Actor_01\03-01-06-02-01-01-01.wav,fear
../data/raw\Actor_01\03-01-06-02-01-02-01.wav,fear
../data/raw\Actor_01\03-01-06-02-02-01-01.wav,fear
../data/raw\Actor_01\03-01-06-02-02-02-01.wav,fear
../data/raw\Actor_01\03-01-07-01-01-01-01.wav,disgust
../data/raw\Actor_01\03-01-07-01-01-02-01.wav,disgust
../data/raw\Actor_01\03-01-07-01-02-01-01.wav,disgust
../data/raw\Actor_01\03-01-07-01-02-02-01.wav,disgust
../data/raw\Actor_01\03-01-07-02-01-01-01.wav,disgust
../data/raw\Actor_01\03-01-07-02-01-02-01.wav,disgust
../data/raw\Actor_01\03-01-07-02-02-01-01.wav,disgust
../data/raw\Actor_01\03-01-07-02-02-02-01.wav,disgust
../data/raw\Actor_01\03-01-08-01-01-01-01.wav,surprise
../data/raw\Actor_01\03-01-08-01-01-02-01.wav,surprise
../data/raw\Actor_01\03-01-08-01-02-01-01.wav,surprise
../data/raw\Actor_01\03-01-08-01-02-02-01.wav,surprise
../data/raw\Actor_01\03-01-08-02-01-01-01.wav,surprise
../data/raw\Actor_01\03-01-08-02-01-02-01.wav,surprise
../data/raw\Actor_01\03-01-08-02-02-01-01.wav,surprise
../data/raw\Actor_01\03-01-08-02-02-02-01.wav,surprise
../data/raw\Actor_02\03-01-01-01-01-01-02.wav,neutral
../data/raw\Actor_02\03-01-01-01-01-02-02.wav,neutral
../data/raw\Actor_02\03-01-01-01-02-01-02.wav,neutral
../data/raw\Actor_02\03-01-01-01-02-02-02.wav,neutral
../data/raw\Actor_02\03-01-02-01-01-01-02.wav,calm
