emotion,gender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
fear,male,-49.749237060546875,-50.14337921142578,-46.30770492553711,-41.06877517700195,-36.72980499267578,-33.03410720825195,-32.67991638183594,-34.63406753540039,-35.45057678222656,-35.23018264770508,-35.04610061645508,-34.220672607421875,-35.06816482543945,-34.64995193481445,-34.54397964477539,-34.9889030456543,-35.12062072753906,-36.19111251831055,-36.60438919067383,-35.332401275634766,-34.43806457519531,-36.14845657348633,-37.556922912597656,-39.80830001831055,-41.5655632019043,-40.29291534423828,-39.496673583984375,-39.10279083251953,-40.098838806152344,-42.20852279663086,-43.417781829833984,-42.27528381347656,-41.769351959228516,-42.33906173706055,-43.15235900878906,-44.810970306396484,-44.815547943115234,-44.976802825927734,-46.27375411987305,-47.0317497253418,-46.93704605102539,-47.549015045166016,-47.44227600097656,-47.16721725463867,-48.32781219482422,-49.85215759277344,-49.618675231933594,-47.341453552246094,-45.19314193725586,-46.635005950927734,-46.9059944152832,-46.55324935913086,-46.89291000366211,-45.47999572753906,-46.9775390625,-45.33539962768555,-44.636051177978516,-44.68541717529297,-44.565818786621094,-45.2280387878418,-45.21054458618164,-44.17854690551758,-42.448856353759766,-42.575191497802734,-43.71297073364258,-43.52541732788086,-44.12266159057617,-45.048526763916016,-45.13225555419922,-45.351318359375,-46.419673919677734,-46.130374908447266,-45.65497589111328,-45.84966278076172,-46.317222595214844,-46.99734878540039,-46.81462097167969,-48.21472930908203,-48.50199890136719,-47.830562591552734,-49.8087272644043,-49.41972351074219,-49.75994110107422,-50.74363708496094,-51.04010772705078,-50.95372009277344,-51.75801467895508,-52.08823776245117,-51.067039489746094,-51.25021743774414,-51.756568908691406,-51.57424545288086,-51.094764709472656,-50.847286224365234,-51.15496063232422,-51.44826889038086,-52.538543701171875,-52.66252517700195,-52.60504913330078,-53.16861343383789,-52.92985153198242,-52.31217956542969,-51.441551208496094,-51.6025276184082,-52.24159622192383,-51.59324645996094,-51.269691467285156,-51.177757263183594,-52.12862014770508,-52.11240005493164,-52.47843933105469,-52.722816467285156,-53.419212341308594,-53.77881622314453,-53.14643096923828,-52.9487419128418,-53.58638381958008,-55.486976623535156,-57.49570083618164,-58.08260726928711,-58.25948715209961,-58.29352951049805,-58.29336929321289,-58.37216567993164,-58.707427978515625,-58.53207778930664,-57.73253631591797,-57.973445892333984
fear,male,-30.58917697491541,-30.950088175236942,-30.41133560405655,-28.45951561749928,-25.796681988441183,-22.921584969204076,-22.363703207456854,-23.85872119460674,-25.19136116682081,-25.50039577683525,-25.517763174776377,-25.066289372366015,-24.81912807985432,-23.460159661775084,-23.766374572413955,-25.027708062127733,-25.202995330067452,-25.702582622528272,-26.38591243752684,-25.54728847559306,-25.06288166224383,-25.7684494484952,-26.369050144625863,-27.140898124301412,-28.319015936596966,-27.648158629998267,-26.67071317815187,-26.091301585687273,-26.628827002444798,-27.48619047282744,-28.258163676396514,-28.0995485394081,-28.42152701864556,-28.449328538554553,-27.781592050055945,-29.034093974614954,-29.61505453340003,-30.039296468761666,-30.04002788446742,-29.617283173756324,-29.442334312617227,-29.62236395608246,-29.8497285286331,-29.81541149575162,-30.467146944220797,-31.326078843314786,-30.73017732852028,-30.092924880625834,-28.943801793677107,-30.465963225707736,-31.114402034699868,-30.36166710756651,-31.267860863546026,-29.581295617053968,-29.95735331925502,-29.610034717196864,-30.09876118358818,-29.51946363426792,-29.436797452473364,-29.86632561149197,-30.204325934795644,-29.572826013844793,-29.14893150195827,-29.462983307910886,-29.69885630776135,-29.45412417373736,-29.452508297926304,-29.778933259427465,-29.167857984103797,-29.49883798045743,-29.75866623758198,-29.730158287798563,-29.81945401603396,-29.247955763555865,-29.726248869113952,-30.201866948036812,-29.512306383697453,-30.402542520758338,-29.920768609183565,-29.914800711572408,-30.262375881292634,-30.236289811545205,-30.089142144220748,-30.501988190289804,-30.91052761063606,-30.87078206963027,-30.379910778970228,-30.81378039221681,-31.245135532747337,-30.299227721979875,-30.22097149555755,-30.54737154173946,-30.690257773937844,-30.737183171886794,-30.640418627203882,-30.18216495309971,-30.426617827346416,-30.603324113642604,-30.764216821320662,-30.69030852268936,-30.35355192540577,-30.214656739830172,-29.984268763417177,-29.99458811762805,-30.31931958950897,-30.747399842815156,-30.203568532513238,-30.00079105410685,-30.283763358290418,-30.064614901409282,-30.15821917322702,-30.650736190234742,-30.485956655429092,-30.209527148137134,-30.06452996279632,-30.096940853196006,-30.288415656624252,-30.588745664052137,-30.64400620866479,-30.34981319904271,-30.713645509198955,-30.717090255863223,-30.609840631117354,-30.320201941606882,-30.49438181508782,-30.580835093185446,-30.254344536465602,-30.44134805838363
fear,male,-49.62794876098633,-50.011390686035156,-46.2677001953125,-41.05919647216797,-36.64508819580078,-33.02418518066406,-32.61811447143555,-34.561912536621094,-35.35525131225586,-35.19026184082031,-34.941158294677734,-34.17206954956055,-35.0365104675293,-34.599918365478516,-34.53459930419922,-35.00868606567383,-35.1070556640625,-36.15404510498047,-36.616050720214844,-35.410667419433594,-34.4874382019043,-36.04496765136719,-37.54117965698242,-39.79225158691406,-41.49055862426758,-40.28710174560547,-39.49811553955078,-39.13340377807617,-40.13642501831055,-42.27684783935547,-43.444522857666016,-42.34598159790039,-41.801109313964844,-42.35859298706055,-43.209617614746094,-44.891441345214844,-44.906558990478516,-45.024169921875,-46.30963897705078,-47.05684280395508,-47.04729080200195,-47.55961227416992,-47.494285583496094,-47.196754455566406,-48.43107604980469,-49.906822204589844,-49.62199020385742,-47.37577819824219,-45.18913269042969,-46.765113830566406,-47.00126266479492,-46.619117736816406,-46.99836730957031,-45.55905532836914,-47.02508544921875,-45.30029296875,-44.638763427734375,-44.697792053222656,-44.57221984863281,-45.226646423339844,-45.23057174682617,-44.19681930541992,-42.44563293457031,-42.57510757446289,-43.71234130859375,-43.53565979003906,-44.1127815246582,-45.06395721435547,-45.18967056274414,-45.39091491699219,-46.4333381652832,-46.189762115478516,-45.69942092895508,-45.884803771972656,-46.37455368041992,-47.04636764526367,-46.8777961730957,-48.279605865478516,-48.5674934387207,-47.85179901123047,-49.88907241821289,-49.489253997802734,-49.83749008178711,-50.81748580932617,-51.10078430175781,-51.066932678222656,-51.867286682128906,-52.16542053222656,-51.12395095825195,-51.26926803588867,-51.829925537109375,-51.630191802978516,-51.16649627685547,-50.89659881591797,-51.18465805053711,-51.43792724609375,-52.53687286376953,-52.69160079956055,-52.65919494628906,-53.25141525268555,-52.99026870727539,-52.38852310180664,-51.50849151611328,-51.670650482177734,-52.35708236694336,-51.72257614135742,-51.372039794921875,-51.3001594543457,-52.2603759765625,-52.24988555908203,-52.585105895996094,-52.838043212890625,-53.49447250366211,-53.859291076660156,-53.21525192260742,-53.04571533203125,-53.688716888427734,-55.5699348449707,-57.61964797973633,-58.21121597290039,-58.391265869140625,-58.401241302490234,-58.41416549682617,-58.51930236816406,-58.84728240966797,-58.670143127441406,-57.845115661621094,-58.0933723449707
fear,male,-54.00443649291992,-53.067909240722656,-49.84428787231445,-44.506614685058594,-40.02073669433594,-36.206886291503906,-35.87482452392578,-37.57477569580078,-38.66627502441406,-38.23051834106445,-37.798892974853516,-37.24565124511719,-38.59363555908203,-37.76375961303711,-37.4280891418457,-38.0025520324707,-37.974754333496094,-39.379756927490234,-39.66824722290039,-38.132686614990234,-37.49268341064453,-38.971805572509766,-40.00456237792969,-41.97994613647461,-44.34152603149414,-43.25605392456055,-42.1667366027832,-41.68564224243164,-42.905616760253906,-45.19572830200195,-46.364322662353516,-44.680728912353516,-44.25481033325195,-45.17764663696289,-45.69386291503906,-47.362796783447266,-48.067108154296875,-48.26242446899414,-49.219356536865234,-49.69227600097656,-49.86750030517578,-50.59662628173828,-51.549278259277344,-51.466514587402344,-51.20357894897461,-52.89464569091797,-52.67692184448242,-49.92540740966797,-47.38743209838867,-49.21125793457031,-49.54597473144531,-49.235103607177734,-49.51710510253906,-48.235694885253906,-49.979148864746094,-48.956356048583984,-48.09339141845703,-47.661537170410156,-47.24599838256836,-48.020565032958984,-48.43961715698242,-47.66774368286133,-45.212379455566406,-45.12735366821289,-46.86255645751953,-46.50716018676758,-46.84362030029297,-48.073463439941406,-48.2931022644043,-48.299072265625,-49.12687683105469,-48.55232620239258,-48.79737091064453,-48.7357063293457,-48.74618148803711,-49.47520065307617,-49.29536437988281,-50.99496078491211,-50.775840759277344,-50.2927360534668,-52.479312896728516,-52.0394287109375,-52.27899169921875,-53.23801803588867,-54.17551040649414,-54.20303726196289,-54.65119934082031,-54.74814224243164,-53.98796081542969,-54.05692672729492,-54.44158935546875,-54.56104278564453,-54.11960220336914,-53.655517578125,-53.59185791015625,-53.822776794433594,-55.364444732666016,-55.28341293334961,-55.29353713989258,-55.95470428466797,-55.70753479003906,-54.6699104309082,-53.8152961730957,-54.19124221801758,-54.77884292602539,-54.12443161010742,-53.94894027709961,-54.08094787597656,-55.00723648071289,-54.5445556640625,-54.98033142089844,-55.482574462890625,-56.21491622924805,-56.86164093017578,-55.659019470214844,-55.414730072021484,-56.15831756591797,-58.55382537841797,-60.33401870727539,-60.73049545288086,-61.11076354980469,-60.936283111572266,-60.91207504272461,-61.10735321044922,-61.12345504760742,-60.99987030029297,-60.32173156738281,-60.555912017822266
fear,male,-54.604095458984375,-54.934452056884766,-51.0273551940918,-45.861244201660156,-41.61277770996094,-37.54999542236328,-36.46357727050781,-38.33052062988281,-40.50387954711914,-41.224220275878906,-39.81414031982422,-38.13658142089844,-38.052486419677734,-39.54955291748047,-38.65303421020508,-38.47510528564453,-38.032493591308594,-38.1591911315918,-39.4436149597168,-39.131649017333984,-38.17328643798828,-38.27214050292969,-40.06357192993164,-42.404048919677734,-43.942710876464844,-45.636207580566406,-43.99935531616211,-42.87453842163086,-42.43568801879883,-43.09202575683594,-44.85099411010742,-47.24960708618164,-46.00356674194336,-44.75071334838867,-44.958778381347656,-46.76002883911133,-46.96870803833008,-48.49275207519531,-48.06233596801758,-48.36496353149414,-50.128074645996094,-50.91061782836914,-50.802677154541016,-51.517677307128906,-50.592559814453125,-52.28974533081055,-53.0861701965332,-52.86138153076172,-51.52888107299805,-48.68674850463867,-47.96284484863281,-48.993045806884766,-50.847206115722656,-49.5775146484375,-49.14622497558594,-48.74412536621094,-49.91311264038086,-47.38576126098633,-47.66102600097656,-48.66391372680664,-47.32316970825195,-49.0533447265625,-48.59465789794922,-47.475372314453125,-46.40250778198242,-47.201019287109375,-47.1639404296875,-46.79680633544922,-46.847496032714844,-48.11393737792969,-47.7890625,-47.79620361328125,-50.05885314941406,-50.02820587158203,-48.652191162109375,-49.45860290527344,-50.32328796386719,-51.056461334228516,-50.603763580322266,-51.35614013671875,-51.0195198059082,-51.337310791015625,-53.46282958984375,-52.28206253051758,-53.43035125732422,-54.640769958496094,-53.90626525878906,-54.89217758178711,-55.531715393066406,-54.8548583984375,-53.968448638916016,-55.28213119506836,-55.26567077636719,-54.53823471069336,-53.61939239501953,-53.52214431762695,-54.14830017089844,-54.67903137207031,-55.91750717163086,-55.79229736328125,-55.77726745605469,-56.698448181152344,-55.73283004760742,-54.731689453125,-54.18977355957031,-55.05044937133789,-55.63672637939453,-54.29291534423828,-54.324737548828125,-54.93408966064453,-55.40418243408203,-55.685630798339844,-55.901695251464844,-56.719329833984375,-57.0888786315918,-56.595436096191406,-56.23534393310547,-56.1575813293457,-56.736915588378906,-59.735137939453125,-61.280399322509766,-61.832340240478516,-61.97601318359375,-61.84899139404297,-61.789215087890625,-61.85033416748047,-61.86472702026367,-61.31721496582031
fear,male,-51.1553840637207,-51.549522399902344,-47.71385192871094,-42.474918365478516,-38.135948181152344,-34.44025421142578,-34.08606719970703,-36.04021072387695,-36.856719970703125,-36.63632583618164,-36.45225143432617,-35.6268196105957,-36.474308013916016,-36.05609893798828,-35.95012283325195,-36.395050048828125,-36.526771545410156,-37.597259521484375,-38.01054000854492,-36.73855209350586,-35.844215393066406,-37.554603576660156,-38.963069915771484,-41.214447021484375,-42.97170639038086,-41.699066162109375,-40.90282440185547,-40.50893783569336,-41.50498580932617,-43.61466979980469,-44.82392883300781,-43.68143081665039,-43.17549514770508,-43.745208740234375,-44.55850601196289,-46.21711349487305,-46.2216911315918,-46.38294982910156,-47.67989730834961,-48.43790054321289,-48.343196868896484,-48.95516586303711,-48.848419189453125,-48.573368072509766,-49.73395538330078,-51.25830078125,-51.02482223510742,-48.74760055541992,-46.59928512573242,-48.04115295410156,-48.312137603759766,-47.95939636230469,-48.29905700683594,-46.886138916015625,-48.38368606567383,-46.741546630859375,-46.04219436645508,-46.0915641784668,-45.971961975097656,-46.634185791015625,-46.61669158935547,-45.584693908691406,-43.85499954223633,-43.9813346862793,-45.119117736816406,-44.93156051635742,-45.52880859375,-46.454673767089844,-46.53839874267578,-46.75746154785156,-47.82582473754883,-47.536521911621094,-47.06112289428711,-47.25581359863281,-47.72337341308594,-48.40349578857422,-48.22076416015625,-49.62087631225586,-49.908145904541016,-49.2367057800293,-51.214874267578125,-50.825870513916016,-51.16609191894531,-52.1497802734375,-52.44625473022461,-52.35987091064453,-53.164161682128906,-53.494384765625,-52.473182678222656,-52.65636444091797,-53.16271209716797,-52.98039245605469,-52.50090789794922,-52.2534294128418,-52.56111145019531,-52.854408264160156,-53.94468688964844,-54.068668365478516,-54.01119613647461,-54.57475662231445,-54.336002349853516,-53.718326568603516,-52.847694396972656,-53.008670806884766,-53.647743225097656,-52.9993896484375,-52.67583465576172,-52.583900451660156,-53.53476333618164,-53.5185432434082,-53.884586334228516,-54.12895965576172,-54.82535934448242,-55.18496322631836,-54.552574157714844,-54.354896545410156,-54.99252700805664,-56.893123626708984,-58.90184783935547,-59.4887580871582,-59.665626525878906,-59.69967269897461,-59.69951248168945,-59.7783088684082,-60.11356735229492,-59.93821716308594,-59.13867950439453,-59.37958908081055
neutral,male,-50.67789840698242,-47.932037353515625,-41.69541549682617,-36.51824188232422,-33.716392517089844,-34.66066360473633,-36.85131072998047,-35.59067916870117,-37.97166061401367,-39.86868667602539,-40.5426139831543,-38.94426345825195,-37.285133361816406,-36.03702926635742,-38.9898796081543,-44.56150817871094,-42.36983871459961,-39.7840690612793,-38.100982666015625,-38.68906021118164,-40.01450729370117,-41.37342834472656,-41.88563537597656,-43.53409957885742,-44.94301223754883,-44.01942443847656,-43.00067138671875,-43.594459533691406,-46.20751953125,-48.19967269897461,-48.88394546508789,-47.89048385620117,-47.34543228149414,-48.082088470458984,-48.600364685058594,-49.463340759277344,-50.3184814453125,-51.75139236450195,-52.79380416870117,-52.62654495239258,-51.96880340576172,-51.87586212158203,-52.18983459472656,-52.419403076171875,-51.138145446777344,-52.2132682800293,-53.17201232910156,-54.69398880004883,-54.55887222290039,-54.277435302734375,-53.853878021240234,-52.40189743041992,-53.744300842285156,-53.57621765136719,-54.40291213989258,-54.90966796875,-55.292213439941406,-52.60678482055664,-53.34419250488281,-54.9600944519043,-53.693729400634766,-52.24037551879883,-52.867069244384766,-52.895565032958984,-52.69904708862305,-51.19620132446289,-50.46273422241211,-51.92301940917969,-52.58707809448242,-52.91316604614258,-53.26920700073242,-53.076473236083984,-51.44971466064453,-52.074581146240234,-53.23979568481445,-52.135379791259766,-51.49591064453125,-52.2215461730957,-52.04436492919922,-52.12578582763672,-52.70594787597656,-53.40687942504883,-55.13613510131836,-57.00303268432617,-57.99732971191406,-58.98258590698242,-59.08900451660156,-60.14361572265625,-59.549930572509766,-58.6738395690918,-58.87886047363281,-57.90256118774414,-58.39732360839844,-57.67900848388672,-57.071163177490234,-57.06199645996094,-57.959083557128906,-58.37288284301758,-58.545223236083984,-58.46685791015625,-58.26850509643555,-59.31084442138672,-60.346641540527344,-61.070091247558594,-61.126953125,-60.90447998046875,-61.16627883911133,-62.28862380981445,-63.19115447998047,-64.16203308105469,-64.0438461303711,-65.08981323242188,-65.3383560180664,-63.77400207519531,-62.47513198852539,-61.9709358215332,-62.19524002075195,-62.12509536743164,-62.30794143676758,-63.11631774902344,-63.973426818847656,-64.95428466796875,-66.33583068847656,-66.79667663574219,-66.96826934814453,-66.96099090576172,-66.53353118896484,-66.88812255859375
neutral,male,-31.79796445505358,-31.27025542709511,-27.904049029602177,-25.11435514492883,-22.96637053560296,-23.447666339375804,-24.73138394670365,-23.820381670094633,-25.428710629343033,-27.223020076443817,-28.169469767470225,-26.827078268854375,-24.635843680485007,-23.758480900379062,-25.611356150916194,-29.174235669032456,-28.07934018853079,-26.427146385440327,-24.881956950797303,-24.610807765486662,-25.32290277559457,-27.019661882204343,-27.515973811430552,-28.367916114661416,-28.644794941723585,-28.42763965194514,-27.705428464236455,-28.229075915806135,-29.64053404597593,-30.046476347451847,-29.508205467127443,-28.756574210571834,-29.559447281594476,-30.845194735011972,-30.129539164258638,-30.244898653624638,-30.439751143597263,-30.120930104306506,-30.126368296311703,-30.3441930332075,-30.753355629448162,-31.147198084348837,-31.1323875774125,-30.42770541410512,-29.8749221156337,-30.991243151856416,-30.88700824274804,-31.189883936036253,-29.913212090083036,-31.12114658839767,-31.227799494283623,-30.26844132139335,-31.33470543540635,-30.983821781107512,-32.28704316491204,-30.87635688564844,-32.15415077702735,-31.18412185324199,-30.71185865938611,-30.47174707682046,-30.700052794791564,-30.702926793890505,-30.92364277205943,-31.1267004102481,-30.974299065383253,-29.917412202051356,-29.97527729736744,-30.675140309939863,-31.05205079892063,-30.750129829625465,-30.632527229045145,-31.013235571421887,-30.35285921731602,-30.04790159732339,-30.348358430154516,-30.260511975208182,-29.73867872024654,-30.282456641670024,-30.33676214566924,-30.25189349095126,-30.115576272568,-30.127984640952757,-30.12561493222953,-30.605322491006678,-30.71599798551927,-31.60931685105337,-31.101820991152824,-31.1053363159413,-31.080951573823327,-30.71199091723621,-30.850803646828755,-31.311315739077564,-30.9708939029529,-30.80110672530415,-30.484422784485517,-30.399813273535575,-30.80270071509808,-31.088450598358733,-30.739987414346004,-30.8341824950194,-30.66209207565988,-30.700745687752924,-30.650169303224025,-30.718849781343557,-30.5728318439229,-30.63225433389665,-30.739488873933333,-30.74648152857694,-30.72696062033859,-30.47828827001361,-30.881500183642533,-30.995036309680028,-30.954724166731044,-30.48293809939549,-30.66706654872932,-30.500757696308625,-30.624584623634753,-30.950416919720062,-30.8283510679892,-30.872043529313892,-30.888291680711095,-30.81974122969519,-30.915884060644068,-30.96260822160885,-30.774011432897485,-30.776103881354967,-30.638083962665817,-30.624861139410733
neutral,male,-50.470428466796875,-47.76845932006836,-41.65195846557617,-36.40907287597656,-33.566219329833984,-34.509124755859375,-36.73907470703125,-35.493228912353516,-37.886173248291016,-39.86458969116211,-40.39548873901367,-38.8298225402832,-37.199562072753906,-35.9381103515625,-39.000389099121094,-44.517459869384766,-42.253807067871094,-39.688045501708984,-38.08885192871094,-38.58526611328125,-39.91218948364258,-41.30759811401367,-41.80147171020508,-43.55809020996094,-44.99458694458008,-44.017215728759766,-42.94055938720703,-43.52421951293945,-46.10197067260742,-48.198577880859375,-48.899200439453125,-47.85459518432617,-47.325294494628906,-48.0632438659668,-48.55781555175781,-49.47718048095703,-50.26673126220703,-51.697265625,-52.805938720703125,-52.525413513183594,-51.9548454284668,-51.89521789550781,-52.174556732177734,-52.55797576904297,-51.123287200927734,-52.1786994934082,-53.160587310791016,-54.6470947265625,-54.51365661621094,-54.244606018066406,-53.86692428588867,-52.33690643310547,-53.711021423339844,-53.54264450073242,-54.39250183105469,-54.87456130981445,-55.21878433227539,-52.570003509521484,-53.28471755981445,-54.92121124267578,-53.66789245605469,-52.205841064453125,-52.84931564331055,-52.866207122802734,-52.65251541137695,-51.13878631591797,-50.43675994873047,-51.857730865478516,-52.51490783691406,-52.80878829956055,-53.20191192626953,-53.016910552978516,-51.393341064453125,-51.97601318359375,-53.17618942260742,-52.06696319580078,-51.431888580322266,-52.144065856933594,-51.97917556762695,-52.052040100097656,-52.61557388305664,-53.3332633972168,-55.04837417602539,-56.91737747192383,-57.881839752197266,-58.898807525634766,-59.02573013305664,-60.07215118408203,-59.468082427978516,-58.600101470947266,-58.79359817504883,-57.80469512939453,-58.30024719238281,-57.59621047973633,-56.9742431640625,-56.93246841430664,-57.85791778564453,-58.26675796508789,-58.45304870605469,-58.37672424316406,-58.1591682434082,-59.19477462768555,-60.23482131958008,-60.93680953979492,-60.994625091552734,-60.77566146850586,-61.02488708496094,-62.159969329833984,-63.07806396484375,-64.05147552490234,-63.93143844604492,-64.97168731689453,-65.23158264160156,-63.68648910522461,-62.356266021728516,-61.84679412841797,-62.075523376464844,-62.01566696166992,-62.207130432128906,-63.0413703918457,-63.89994430541992,-64.88009643554688,-66.25077056884766,-66.73263549804688,-66.89872741699219,-66.87200164794922,-66.4484634399414,-66.79563903808594
neutral,male,-54.183372497558594,-51.23715591430664,-44.80619812011719,-40.05833053588867,-37.64645004272461,-39.649051666259766,-41.65040588378906,-39.79974365234375,-42.09676742553711,-43.8736686706543,-44.46368408203125,-42.89257049560547,-41.504024505615234,-40.39312744140625,-43.69062805175781,-49.05959701538086,-46.902530670166016,-43.651763916015625,-41.670021057128906,-42.11320877075195,-43.82966232299805,-44.875694274902344,-45.14433670043945,-47.51470184326172,-48.40362548828125,-47.311405181884766,-46.070491790771484,-46.63527297973633,-49.675357818603516,-52.494441986083984,-52.80570983886719,-51.58277893066406,-51.77250671386719,-53.21304702758789,-53.13059997558594,-53.635189056396484,-54.73514175415039,-56.09253692626953,-56.78923797607422,-56.80522537231445,-56.239112854003906,-55.85885238647461,-55.827274322509766,-55.37152862548828,-53.49055099487305,-54.714256286621094,-56.44272232055664,-58.911163330078125,-58.93701171875,-58.07246780395508,-57.06881332397461,-55.5547981262207,-56.88977813720703,-56.498191833496094,-57.49178695678711,-58.28200149536133,-59.0372314453125,-57.15091323852539,-57.67013168334961,-59.111183166503906,-57.19886779785156,-55.89256286621094,-56.99654769897461,-56.28718948364258,-55.913963317871094,-54.96833419799805,-54.271697998046875,-56.119075775146484,-56.94046401977539,-57.04213333129883,-57.08037185668945,-57.49739456176758,-56.11065673828125,-56.78084182739258,-56.96497344970703,-55.130027770996094,-54.44871520996094,-54.716922760009766,-55.11136245727539,-55.485626220703125,-56.07832717895508,-56.96731948852539,-58.57539749145508,-60.23759460449219,-61.69196319580078,-62.942787170410156,-63.41343307495117,-64.39427185058594,-62.872440338134766,-61.42435836791992,-62.655033111572266,-61.90489196777344,-62.288169860839844,-61.59206771850586,-59.87708282470703,-59.84489440917969,-60.73321533203125,-61.70325469970703,-62.3140869140625,-61.962581634521484,-61.67525100708008,-62.70731735229492,-63.45143127441406,-63.97544479370117,-63.92136764526367,-63.56381607055664,-64.28943634033203,-65.45662689208984,-66.3860092163086,-67.70294952392578,-67.49510955810547,-68.54707336425781,-68.43514251708984,-67.40422058105469,-65.93879699707031,-64.84678649902344,-65.5364990234375,-65.22342681884766,-65.45430755615234,-66.06729125976562,-66.94711303710938,-68.3360595703125,-69.9378890991211,-70.08216094970703,-70.39340209960938,-70.58782958984375,-69.55292510986328,-70.2193832397461
