emotion,gender,path,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
neutral,male,../data/raw\Actor_01\03-01-01-01-01-01-01.wav,-60.856213,-52.697952,-46.521023,-44.489693,-45.090164,-47.94456,-49.305172,-48.822517,-48.207813,-47.91788,-48.504017,-48.86543,-50.22264,-50.232357,-49.932877,-49.79735,-48.844807,-49.032597,-49.145203,-49.36638,-50.302937,-50.118153,-50.561073,-52.149826,-54.079716,-54.539303,-54.518734,-54.984886,-55.636185,-56.134136,-56.387928,-56.471664,-57.591625,-58.749065,-59.316082,-59.548298,-58.76931,-59.371376,-59.444004,-58.890076,-58.52714,-58.561188,-59.362823,-59.909233,-58.93036,-59.049923,-58.505013,-57.468758,-56.859104,-58.15019,-58.55975,-58.226418,-58.139885,-57.08767,-57.969357,-57.68445,-57.59999,-57.124493,-57.58334,-58.31005,-57.681828,-57.480618,-58.145874,-59.12475,-59.147102,-60.262875,-61.131577,-59.71001,-59.899487,-60.464264,-60.82034,-61.112225,-60.830544,-60.880493,-60.962635,-60.764378,-59.250748,-58.788116,-58.79155,-58.781887,-58.61982,-59.44427,-60.681133,-61.694466,-61.91467,-62.39534,-62.805424,-62.146282,-62.02816,-61.630764,-60.782467,-60.671677,-61.18679,-61.09777,-60.387154,-61.719727,-63.076656,-64.44157,-66.54641,-67.54646,-67.149765,-65.4831,-65.4305,-66.32481,-67.252625,-67.49502,-67.57826,-68.17493,-68.04995,-68.4485,-68.16398,-68.45675,-67.835846,-66.899055,-65.57553,-64.35811,-64.31479,-65.266,-65.28012,-65.68951,-66.35511,-66.8214,-67.15046,-67.48546,-67.73194,-68.10529,-68.92545,-69.43738
neutral,male,../data/raw\Actor_01\03-01-01-01-01-02-01.wav,-60.23297,-53.291573,-47.571617,-44.309284,-43.969875,-46.10203,-47.81021,-49.05942,-48.20101,-46.84496,-46.343662,-47.253918,-48.809605,-49.142277,-49.084553,-48.756824,-48.097507,-47.476906,-48.023014,-48.37426,-49.35288,-50.30673,-50.19905,-51.348072,-52.518055,-53.405468,-54.58942,-54.1397,-53.57696,-54.35372,-56.20389,-56.52371,-56.621197,-57.37792,-58.2873,-59.60089,-59.271324,-58.958347,-58.54351,-58.564198,-58.64607,-58.323948,-58.43238,-59.00236,-58.81438,-59.423096,-58.019787,-56.240784,-55.718163,-57.894196,-58.522297,-57.198483,-57.28812,-56.46494,-56.752934,-56.395775,-56.446323,-55.839573,-56.248104,-56.548542,-55.862576,-56.107334,-57.367977,-57.352768,-57.23934,-58.94951,-59.851353,-59.22006,-59.176952,-59.4088,-59.844124,-59.638134,-59.24178,-59.354694,-59.876526,-59.63432,-58.749718,-58.236485,-58.488113,-57.711594,-57.510307,-57.854305,-58.79783,-60.02679,-59.501904,-60.50288,-60.924007,-59.975754,-59.9323,-59.53316,-59.23784,-58.85488,-59.325047,-59.0329,-58.903652,-59.47665,-60.456085,-61.778214,-64.64589,-66.2431,-66.10334,-64.41057,-63.280457,-63.468807,-64.512764,-65.940155,-65.975815,-66.97105,-67.3464,-68.2331,-68.18821,-68.028336,-67.34015,-66.22489,-64.95158,-63.905693,-63.67415,-64.057556,-64.68411,-65.60682,-66.46851,-66.76998,-67.34643,-67.44329,-67.47095,-67.67861,-68.51773,-68.7055
neutral,male,../data/raw\Actor_01\03-01-01-01-02-01-01.wav,-61.067314,-54.89152,-48.595703,-44.144966,-44.061535,-47.445797,-49.123657,-48.53566,-47.14021,-46.296326,-46.614883,-46.838326,-47.1963,-47.904224,-48.82197,-48.494045,-47.100624,-47.16042,-48.71534,-49.792233,-49.555252,-48.34616,-48.81267,-51.290146,-53.31669,-52.534924,-52.028023,-52.398758,-53.608616,-54.793655,-55.553783,-55.450607,-56.36698,-57.02883,-57.214752,-58.23273,-58.63958,-58.668823,-58.14557,-57.755436,-57.33203,-57.677956,-57.91011,-57.950993,-57.12426,-57.405033,-56.118626,-54.720318,-54.791176,-57.343597,-57.34169,-56.282177,-57.225483,-56.812885,-57.08875,-56.5152,-56.645424,-56.102936,-56.14506,-56.374832,-56.20825,-57.09629,-57.248333,-57.43488,-58.109715,-59.062714,-60.289288,-59.42622,-59.402,-59.73374,-59.822475,-60.15773,-59.38197,-59.57306,-59.789646,-59.644035,-58.32756,-57.945698,-57.780235,-57.908962,-58.838127,-60.066486,-60.500355,-61.45283,-61.147945,-61.518517,-61.97569,-60.990643,-60.944195,-60.14852,-59.29612,-58.6238,-58.833652,-58.950115,-59.131863,-60.22463,-61.54528,-62.689266,-64.61458,-65.229294,-65.43856,-64.53334,-64.33415,-64.896324,-65.65609,-65.392204,-65.46388,-66.052155,-66.02008,-65.995674,-65.9412,-66.09842,-65.70379,-65.04749,-64.32238,-63.890553,-64.53116,-64.96765,-65.12129,-65.77751,-66.27309,-66.74125,-67.48621,-67.58149,-67.37501,-67.38734,-68.06277,-68.658226
neutral,male,../data/raw\Actor_01\03-01-01-01-02-02-01.wav,-60.3942,-52.192917,-45.689606,-42.201794,-42.70496,-46.258823,-48.36582,-48.32628,-46.559113,-45.11874,-45.65891,-47.078724,-48.462204,-48.07907,-47.827915,-47.29003,-47.041153,-47.68912,-49.057922,-49.759716,-48.94772,-48.199116,-49.534374,-51.61372,-53.499367,-53.013245,-52.762104,-52.888332,-53.646263,-54.498558,-55.895027,-56.28481,-56.293716,-56.401352,-57.313,-59.316025,-59.740368,-58.834007,-57.660732,-57.4122,-57.52347,-58.47781,-59.36669,-59.31102,-58.078957,-58.135628,-57.041763,-54.82139,-54.749523,-57.400913,-57.137238,-56.12173,-57.130928,-56.72085,-56.667675,-56.450268,-56.663048,-55.72982,-56.176758,-56.601963,-56.137756,-56.858593,-57.4001,-57.339947,-58.174812,-59.753082,-60.273113,-59.898014,-59.70429,-59.91386,-60.244923,-60.74067,-59.979713,-60.048145,-60.06266,-59.422123,-58.810547,-58.563587,-58.161674,-58.342247,-59.143,-59.915966,-60.832954,-61.682087,-61.069027,-61.262474,-61.64943,-61.34961,-60.73141,-59.705128,-59.789936,-59.52591,-60.050854,-60.043743,-59.879505,-60.372265,-61.4378,-62.24229,-63.61603,-64.52642,-64.67847,-64.25054,-64.44163,-64.42237,-64.60197,-65.07751,-65.34945,-65.55766,-65.964554,-65.55616,-65.85514,-65.70427,-65.05567,-64.18247,-64.16963,-64.060585,-64.43546,-64.5529,-64.83632,-65.87753,-66.53122,-67.11556,-67.432076,-67.08601,-66.873764,-66.90574,-66.80286,-67.07007
calm,male,../data/raw\Actor_01\03-01-02-01-01-01-01.wav,-61.45558,-54.41027,-48.58625,-46.134766,-45.669926,-48.366913,-49.443775,-49.145813,-48.2263,-48.135086,-49.24518,-49.37244,-49.94098,-50.514263,-50.799416,-50.296627,-49.833984,-49.347614,-49.140633,-49.130535,-50.44723,-52.83065,-53.55297,-53.65634,-54.13598,-55.128433,-56.619537,-57.152874,-57.095863,-57.39075,-58.253017,-58.683224,-59.434982,-59.351204,-59.905468,-61.50094,-62.1385,-61.783295,-60.734394,-60.13194,-60.069324,-60.621815,-61.648483,-62.114864,-60.541637,-60.770126,-60.38212,-59.228405,-58.968903,-60.63317,-60.968327,-60.13288,-60.31429,-59.05797,-60.372044,-59.51952,-59.346684,-59.576466,-60.078495,-59.842422,-59.858803,-60.486675,-60.721123,-60.66162,-61.148724,-62.40669,-63.085052,-62.10941,-62.865215,-63.490288,-63.290737,-63.558006,-62.71734,-62.747005,-62.822884,-63.179153,-61.8427,-62.003807,-61.369644,-60.742382,-61.071598,-61.721317,-62.201668,-63.717815,-63.926052,-64.71576,-65.44023,-65.15167,-65.381615,-64.96469,-64.21156,-63.948036,-64.11794,-63.916843,-63.77371,-64.62236,-65.94175,-66.44071,-68.140495,-68.21933,-69.30739,-69.31313,-69.27791,-69.32938,-68.94013,-68.87935,-69.126434,-70.22285,-70.05655,-70.43355,-70.55215,-70.105515,-69.24441,-67.971886,-67.063034,-66.63313,-66.68835,-67.2905,-68.93483,-69.9562,-70.69723,-70.9803,-70.91293,-71.518486,-71.40435,-71.339645,-71.38898,-71.661804
calm,male,../data/raw\Actor_01\03-01-02-01-01-02-01.wav,-60.368614,-52.005844,-44.320034,-40.80119,-41.086067,-46.35485,-47.191414,-45.490265,-45.63373,-46.7323,-46.779583,-45.874676,-46.212444,-46.638935,-48.369347,-48.375813,-47.201233,-47.470287,-47.387947,-47.50063,-47.343224,-48.06582,-49.82216,-51.675476,-52.13344,-52.156948,-51.860672,-52.72845,-54.415028,-54.89335,-55.04805,-54.267433,-55.16349,-57.044918,-57.44361,-58.399364,-58.94096,-59.579082,-58.301685,-57.23162,-57.23185,-57.937088,-59.071606,-59.660786,-58.6566,-58.75193,-57.70459,-55.929916,-56.147743,-58.712746,-58.25403,-57.072548,-57.84973,-56.490646,-56.654613,-56.475018,-56.7539,-55.920376,-56.959297,-57.496304,-56.985497,-56.787766,-57.879993,-57.758347,-58.219505,-60.18526,-60.77285,-60.11601,-59.70027,-60.127586,-60.90443,-60.520466,-59.88068,-59.90411,-60.587753,-60.42841,-59.521946,-58.947598,-58.639057,-58.935715,-59.403217,-60.176617,-61.098587,-62.547756,-62.429314,-62.90266,-64.063225,-63.89128,-63.71893,-62.943707,-62.5148,-62.682594,-63.334595,-63.712475,-63.146187,-63.981342,-64.87382,-65.50214,-67.05751,-67.56994,-68.465355,-68.51954,-68.069176,-67.6338,-67.59438,-67.50041,-68.28569,-68.471176,-68.38363,-68.823715,-68.217285,-68.35443,-67.473724,-67.00486,-66.381424,-66.657555,-66.581825,-66.57377,-67.38895,-68.55364,-69.68457,-70.06995,-70.32822,-70.27978,-69.754326,-69.48173,-69.7871,-70.02871
calm,male,../data/raw\Actor_01\03-01-02-01-02-01-01.wav,-60.521305,-51.862446,-42.980988,-39.898613,-40.892643,-45.795334,-48.821693,-46.551605,-44.448433,-45.23329,-46.759964,-47.75438,-47.97008,-46.92264,-47.792717,-48.91448,-48.87528,-48.418045,-47.878967,-47.833363,-48.419643,-48.81566,-49.484623,-50.917576,-51.876884,-52.126522,-52.118862,-53.090843,-54.0234,-54.753433,-55.386856,-55.55511,-56.75977,-57.80187,-57.511936,-58.023106,-58.014038,-58.53398,-58.590645,-57.56625,-56.716663,-56.916107,-58.31449,-59.05809,-57.18289,-56.63616,-56.398716,-55.87669,-55.49481,-57.122562,-57.629135,-56.636288,-57.1139,-56.043888,-56.932533,-56.54043,-57.248867,-57.034153,-57.190094,-56.800133,-56.821693,-57.09905,-56.984398,-56.912918,-58.62988,-60.431698,-60.538372,-60.907345,-61.643333,-61.685036,-61.67362,-60.398365,-60.62922,-61.25816,-61.107235,-59.979572,-58.87202,-58.922764,-57.935352,-57.64978,-59.165306,-59.98747,-60.73316,-61.975792,-61.93534,-62.856846,-63.46032,-63.319363,-63.486458,-62.907887,-62.03311,-61.656418,-61.42758,-61.00693,-61.647602,-61.811775,-62.682907,-63.838215,-64.60834,-65.44598,-65.715416,-66.54329,-66.76051,-65.88974,-65.98543,-66.17773,-67.02501,-67.39325,-68.07501,-68.601524,-68.216354,-67.89283,-67.11946,-66.450615,-65.71973,-65.78929,-65.52729,-65.91857,-66.7104,-67.61222,-68.75452,-69.20654,-69.14933,-68.74939,-68.67709,-69.17469,-69.78709,-71.001076
calm,male,../data/raw\Actor_01\03-01-02-01-02-02-01.wav,-59.912155,-52.213516,-43.263245,-39.952206,-40.74991,-45.61992,-49.662785,-46.40111,-43.09579,-43.672768,-46.322117,-48.081573,-47.71306,-46.31459,-46.420425,-47.42227,-47.64377,-47.473534,-47.396133,-47.552437,-47.889706,-47.93344,-48.72216,-50.157433,-51.69887,-51.704712,-51.88357,-52.97046,-54.547325,-55.31977,-55.19043,-54.95503,-55.76263,-57.149334,-56.63305,-57.319458,-57.543587,-57.896313,-58.0643,-57.57888,-56.703354,-56.65995,-58.067657,-58.982533,-57.10621,-56.69664,-55.876534,-55.31729,-55.47238,-57.00679,-57.60642,-56.119278,-56.22019,-55.86297,-56.823406,-56.00736,-56.96617,-56.811634,-56.35523,-56.263382,-56.6465,-56.722748,-55.88265,-56.480804,-58.606716,-59.75152,-59.604618,-60.055134,-60.207733,-61.341793,-60.802708,-59.963985,-60.242836,-60.52088,-59.993057,-59.113403,-58.229565,-58.734592,-58.082943,-57.70831,-59.140556,-60.26647,-61.35676,-62.130806,-62.307823,-62.776306,-62.782944,-62.284023,-62.939663,-62.203987,-61.965477,-61.681503,-61.428307,-61.241283,-62.097248,-62.2317,-62.488693,-63.941917,-64.1765,-65.52563,-65.94923,-66.51118,-66.34471,-66.19441,-66.55983,-66.8425,-66.99846,-67.18187,-68.24597,-68.43828,-68.09131,-67.91763,-67.46515,-67.237915,-66.586334,-66.479515,-66.53045,-66.60666,-66.733215,-67.786026,-69.34654,-69.68674,-69.87763,-69.75152,-69.21255,-69.382355,-69.925934,-70.72334
calm,male,../data/raw\Actor_01\03-01-02-02-01-01-01.wav,-59.286297,-49.298073,-40.963715,-38.61387,-40.552757,-47.605385,-48.135906,-45.695538,-45.414146,-47.21228,-47.690933,-46.53605,-47.028866,-48.23304,-48.32609,-47.3658,-48.287647,-48.927998,-49.051807,-47.631298,-47.49055,-49.218708,-50.876877,-51.319813,-52.058002,-53.690105,-54.965042,-54.940876,-54.394276,-54.832973,-55.693256,-55.98932,-56.512566,-56.584694,-57.391758,-59.768814,-60.187626,-60.224415,-59.94407,-59.44471,-58.730236,-58.773247,-60.025192,-61.09951,-60.074223,-60.229527,-59.322346,-57.93116,-57.341103,-59.453903,-60.137363,-59.00749,-58.890274,-57.916626,-58.765263,-57.72313,-58.527813,-58.587097,-58.99141,-59.476856,-59.186,-59.26836,-60.09898,-59.748165,-59.90049,-61.69805,-63.296898,-62.19012,-62.25166,-62.68451,-62.254524,-62.23564,-61.46624,-61.228275,-61.972992,-61.44759,-60.388714,-59.395905,-59.153423,-59.442116,-61.46705,-62.4225,-63.623573,-64.9924,-64.57458,-64.64138,-65.951225,-65.58741,-64.856606,-64.89284,-64.86024,-64.62713,-65.17993,-65.25285,-65.16613,-65.904,-67.55023,-67.87115,-69.596245,-70.25069,-70.92486,-70.061226,-69.65769,-68.272865,-66.89764,-67.18838,-68.26466,-69.1466,-69.981224,-71.27243,-71.44219,-71.07826,-70.3358,-70.15526,-69.937096,-70.14939,-69.69181,-68.92089,-68.97337,-69.232735,-69.60493,-70.20757,-70.80903,-71.33513,-72.43333,-73.043274,-72.65906,-72.5629
calm,male,../data/raw\Actor_01\03-01-02-02-01-02-01.wav,-58.553204,-49.399418,-39.870777,-34.715733,-35.3863,-41.18441,-44.698246,-43.20843,-41.26367,-41.258537,-41.54883,-41.616997,-42.689808,-42.84152,-42.718502,-42.52543,-42.260143,-42.950825,-44.196655,-44.311695,-43.279846,-43.391197,-43.88767,-46.3332,-48.229355,-48.22209,-47.57354,-48.22723,-48.69712,-49.436604,-50.469646,-50.353767,-51.46242,-52.021317,-53.0256,-55.538292,-55.3332,-54.932213,-54.122395,-53.738453,-54.049698,-54.441513,-55.5475,-56.6666,-55.270943,-55.16599,-54.13834,-52.666092,-52.471775,-54.33267,-54.31267,-53.15137,-53.236767,-51.857803,-52.886692,-52.64522,-53.04962,-52.291607,-53.519424,-53.785656,-52.534515,-52.828327,-53.50924,-53.27444,-54.29053,-56.887806,-57.278534,-56.803547,-57.0372,-57.43385,-57.84097,-57.38001,-56.891113,-56.630276,-58.20924,-57.50054,-55.654568,-54.67198,-54.151276,-54.668087,-55.577972,-56.85987,-57.472862,-59.170624,-59.183575,-60.1079,-60.854443,-60.67142,-60.305977,-60.054897,-59.59982,-59.528416,-59.80041,-59.847866,-59.849174,-60.732246,-62.284904,-63.114037,-64.69956,-64.97359,-64.763756,-64.36115,-64.39507,-63.878613,-63.40723,-63.467693,-64.18764,-64.78043,-65.55531,-66.50273,-66.676895,-66.41555,-65.65393,-65.63596,-65.70932,-65.27872,-65.25667,-64.67143,-64.41865,-65.03412,-65.955925,-66.830414,-67.5971,-67.92917,-68.28031,-68.926025,-69.29729,-69.19312
